Station number,Station name,Address,City,Province,Latitude,Longitude,Local land use,Station type,Concentration,Units,Station details,Report year
61603,"8Th Line/Glenashton Dr., Halton Reserve",8th Line/Glenashton Dr./Halton Reservoir,Oakville,Ontario,43.48692,-79.70228,Residential,General population exposure,7,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0261603&GoCTemplateCulture=en-CA
",2016
61702,Durham College,2000 Simcoe Street North,Oshawa,Ontario,43.94594,-78.89492,Residential,Transportation source influenced,5.9,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0261702&GoCTemplateCulture=en-CA
",2016
61802,"Exhibition Park Arena, Guelph",Exhibition Park & Clark St. W.,Guelph,Ontario,43.55163611111111,-80.26415555555556,Residential,General population exposure,6.9,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0261802&GoCTemplateCulture=en-CA
",2016
62001,"Chippewa St. - DND, North Bay",540 Chippewa St. W./dept. of National Defence,North Bay,Ontario,46.32323,-79.44928,Residential,General population exposure,4.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0262001&GoCTemplateCulture=en-CA
",2016
62501,"Tiverton, Tiverton",Bruce Nuclear Visitor Ctr,Tiverton,Ontario,44.31447,-81.54972,Agricultural,Regional background,5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0262501&GoCTemplateCulture=en-CA
",2016
62601,"Experimental Farm, Simcoe",Experimental Farm,Simcoe,Ontario,42.85689599999999,-80.27028199999998,Agricultural,Regional background,6.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0262601&GoCTemplateCulture=en-CA
",2016
63001,"Hwy 2 & North Shore Blvd., Burlington",Hwy 2 & North Shore Blvd.,Burlington,Ontario,43.314575,-79.80275555555555,Commercial,General population exposure,7.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0263001&GoCTemplateCulture=en-CA
",2016
63301,"Hwy 117 & Paint Lake Road, Dorset",1026 Bellwood Acres Road,Dorset,Ontario,45.224278,-78.932944,Forested,Regional background,4.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0263301&GoCTemplateCulture=en-CA
",2016
63701,"Point Blake ""Conservation Area"", Grand Bend",Hwy 21 & County Rd 83/ Water Trmt Plnt,Grand Bend,Ontario,43.33318611111111,-81.74282222222222,Residential,Regional background,6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0263701&GoCTemplateCulture=en-CA
",2016
65001,"Old Puc, Barrie",85 Perry Street,Barrie,Ontario,44.38231388888889,-79.70243055555555,Residential,General population exposure,6.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265001&GoCTemplateCulture=en-CA
",2016
65101,"Eagle St. & McCaffrey Rd., Newmarket",Eagle St. & McCaffrey Rd.,Newmarket,Ontario,44.04431,-79.48325,Residential,General population exposure,6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265101&GoCTemplateCulture=en-CA
",2016
65201,"7 Bay Street, Parry Sound",7 Bay Street,Parry Sound,Ontario,45.33786,-80.03817,Water,General population exposure,4.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265201&GoCTemplateCulture=en-CA
",2016
65301,"Elgin Water Treatment Plant, Port Stanley",43665 Dexter Line,Port Stanley,Ontario,42.67208,-81.16289,Agricultural,Regional background,6.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265301&GoCTemplateCulture=en-CA
",2016
65401,"Water Treatment Plant, Belleville",2 Sidney Street,Belleville,Ontario,44.15053,-77.3955,Water,General population exposure,5.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265401&GoCTemplateCulture=en-CA
",2016
65601,Essex Site,360 Fairview Ave. W.,Essex,Ontario,42.16,-82.83333,Agricultural,Regional background,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265601&GoCTemplateCulture=en-CA
",2016
65701,Morrisburg,County Rd.2 / Morrisgurg Water Tower,Morrisburg,Ontario,44.89975,-75.18994,Forested,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265701&GoCTemplateCulture=en-CA
",2016
65801,Chatham,435 Grand Avenue W.,Chatham,Ontario,42.40369,-82.20831,Residential,General population exposure,6.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0265801&GoCTemplateCulture=en-CA
",2016
66201,Petawawa,"Natural Resources Canada, Petawa Forest Reserve Facilities,",Chalk River,Ontario,45.996722,-77.441194,Forested,Regional background,4.3,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0266201&GoCTemplateCulture=en-CA
",2016
70118,Scotia,299 Scotia St.,Winnipeg,Manitoba,49.93207,-97.11317,Residential,General population exposure,6.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0270118&GoCTemplateCulture=en-CA
",2016
70119,Ellen,65 Ellen Street,Winnipeg,Manitoba,49.89799,-97.14653,Residential,General population exposure,5.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0270119&GoCTemplateCulture=en-CA
",2016
70203,Brandon,1430 Victoria Avenue East (Assiniboine Community College),Brandon,Manitoba,49.83918,-99.9206,Industrial,General population exposure,5.2,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0270203&GoCTemplateCulture=en-CA
",2016
70301,Flin Flon,143 Main Street,Flin Flon,Manitoba,54.76852,-101.87747,Residential,Transportation source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0270301&GoCTemplateCulture=en-CA
",2016
70501,Thompson Westwood,48 Thompson Drive N,Thompson,Manitoba,55.74719,-97.87353,Residential,Point source influenced,4.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0270501&GoCTemplateCulture=en-CA
",2016
80110,Regina-2505 11Th. Avenue,2505 11th. Avenue,Regina,Saskatchewan,50.45017,-104.61722,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0280110&GoCTemplateCulture=en-CA
",2016
80111,Regina-2,1621 Albert St.,Regina,Saskatchewan,50.4527,-104.616,Residential,General population exposure,8.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0280111&GoCTemplateCulture=en-CA
",2016
80211,Saskatoon-Corman Park,511 1st Avenue North,Saskatoon,Saskatchewan,52.13613,-106.66293,Residential,General population exposure,6.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0280211&GoCTemplateCulture=en-CA
",2016
80402,Prince Albert,63 - 12th Street East,Prince Albert,Saskatchewan,53.201694,-105.75203,Residential,General population exposure,5.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0280402&GoCTemplateCulture=en-CA
",2016
81001,Speedy Creek,1200 Begg St. W,Swift Current,Saskatchewan,50.285833,-107.81689,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0281001&GoCTemplateCulture=en-CA
",2016
90120,Edmonton South,6240 113 Street,Edmonton,Alberta,53.50022,-113.526056,Residential,General population exposure,6.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290120&GoCTemplateCulture=en-CA
",2016
90121,Edmonton East,17 Street & 105 Avenue,Edmonton,Alberta,53.54823,-113.36811,Industrial,Point source influenced,7.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290121&GoCTemplateCulture=en-CA
",2016
90122,Edmonton Northwest,13335 127 St,Edmonton,Alberta,53.59472,-113.53889,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290122&GoCTemplateCulture=en-CA
",2016
90130,Edmonton Central,10255 - 104th Street,Edmonton,Alberta,53.544489999999996,-113.49893,Residential,General population exposure,8.2,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290130&GoCTemplateCulture=en-CA
",2016
90132,Edmonton Mcintyre,4946-89 Street,Edmonton,Alberta,53.486,-113.4646,Industrial,General population exposure,7.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290132&GoCTemplateCulture=en-CA
",2016
90133,Edmonton - Woodcroft,,Edmonton,Alberta,53.564411,-113.562583,Parks,General population exposure,8.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290133&GoCTemplateCulture=en-CA
",2016
90218,Calgary East,49 Avenue & 15th Street S.E.,Calgary,Alberta,51.00943,-114.02542,Open,Point source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290218&GoCTemplateCulture=en-CA
",2016
90222,Calgary Northwest,39 St. & 29 Ave. N.W.,Calgary,Alberta,51.079222,-114.141828,Residential,General population exposure,4.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290222&GoCTemplateCulture=en-CA
",2016
90227,Calgary Central,611-4th Street S.W.,Calgary,Alberta,51.04778,-114.07556,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290227&GoCTemplateCulture=en-CA
",2016
90228,Calgary Central-2,620 7th Ave SW,Calgary,Alberta,51.04761111111111,-114.07516666666666,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290228&GoCTemplateCulture=en-CA
",2016
90230,Calgary Central - Inglewood,2425 9th Ave Se,Calgary,Alberta,51.0309,-114.0091,Parks,General population exposure,5.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290230&GoCTemplateCulture=en-CA
",2016
90302,Red Deer Riverside Drive,73 Street & Riverside Drive,Red Deer,Alberta,52.29867,-113.79352,Residential,General population exposure,6.2,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290302&GoCTemplateCulture=en-CA
",2016
90304,Red Deer - Lancaster,11 Lancaster Drive,Red Deer,Alberta,52.24095,-113.765439,Residential,Transportation source influenced,5.2,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290304&GoCTemplateCulture=en-CA
",2016
90402,Crescent Heights,12th St NW & Division Ave.,Medicine Hat,Alberta,50.04893,-110.68116,Residential,General population exposure,4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290402&GoCTemplateCulture=en-CA
",2016
90502,Lethbridge,,Lethbridge,Alberta,49.71621,-112.8006,Industrial,Point source influenced,4.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290502&GoCTemplateCulture=en-CA
",2016
90601,Fort Saskatchewan,9209a-96 Ave,Fort Saskatchewan,Alberta,53.69874,-113.22285,Residential,Transportation source influenced,7.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290601&GoCTemplateCulture=en-CA
",2016
90701,Athabasca Valley-Fort Mcmurray,Franklin Avenue,Fort Mcmurray,Alberta,56.73341,-111.39047,Water,General population exposure,19.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290701&GoCTemplateCulture=en-CA
",2016
90702,Patricia Mcinnes-Fort Mcmurray,Timberlea Subdivision,Fort Mcmurray,Alberta,56.75139,-111.47662,Residential,General population exposure,18.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290702&GoCTemplateCulture=en-CA
",2016
90703,Millennium-Fenceline,,Fort Mcmurray,Alberta,56.969267,-111.40065,Forested,Point source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290703&GoCTemplateCulture=en-CA
",2016
90801,Bertha Ganter-Fort Mckay,Main Street,Fort Mackay,Alberta,57.18941,-111.6405,Forested,Regional background,10.7,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290801&GoCTemplateCulture=en-CA
",2016
90806,Syncrude Ue1-Fort Mckay South,,Fort Mackay,Alberta,57.1492,-111.6424,Forested,Point source influenced,9.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290806&GoCTemplateCulture=en-CA
",2016
90807,Wapasu Creek,Located Oustide Approval Boundaries at Pti Camp,Wapasu,Alberta,57.26176,-111.037,Forested,Regional background,8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0290807&GoCTemplateCulture=en-CA
",2016
91101,Elk Island National Park,National Park,Elk Island,Alberta,53.68238199999999,-112.86812,Water,Regional background,5.2,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0291101&GoCTemplateCulture=en-CA
",2016
91201,Hightower Ridge,SE 11 54 2 W6,Hightower Ridge,Alberta,53.64675,-118.17837,Forested,Regional background,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0291201&GoCTemplateCulture=en-CA
",2016
91301,Tomahawk,SE 2 51 6 W5,Tomahawk,Alberta,53.37255,-114.76835,Agricultural,Regional background,4.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0291301&GoCTemplateCulture=en-CA
",2016
91501,Beaverlodge,Beaverlodge Research Farm,Beaverlodge,Alberta,55.19634,-119.39682,Agricultural,Regional background,4.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0291501&GoCTemplateCulture=en-CA
",2016
91701,Steeper,NE 12 48 22 W5,Steeper,Alberta,53.1325,-117.09111,Forested,Regional background,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0291701&GoCTemplateCulture=en-CA
",2016
91801,Fort Chipewyan,Fort Chipewyan,Fort Chipewyan,Alberta,58.70879,-111.17683,Water,Regional background,4.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0291801&GoCTemplateCulture=en-CA
",2016
91901,Caroline,16-30-034-5 W5,Caroline,Alberta,51.94687,-114.69744,Agricultural,Regional background,4.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0291901&GoCTemplateCulture=en-CA
",2016
92001,Henry Pirker Station,10327 - 107 Avenue,Grande Prairie,Alberta,55.1766,-118.8078,Water,General population exposure,5.9,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0292001&GoCTemplateCulture=en-CA
",2016
92101,Albian Mine Site,,Bitumount,Alberta,57.2808,-111.5257,Forested,Point source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0292101&GoCTemplateCulture=en-CA
",2016
92102,Albian Muskeg River,,Bitumount,Alberta,57.24933,-111.5085,Open,Point source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0292102&GoCTemplateCulture=en-CA
",2016
92201,Lamont,Rge Rd 203 & Twp Rd 550,Lamont,Alberta,53.76036,-112.88017,Agricultural,Regional background,7.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0292201&GoCTemplateCulture=en-CA
",2016
92301,Redwater-Fenceline,"Hwy 643, South of Twp Rd 564",Redwater,Alberta,53.84369,-113.09922,Industrial,Point source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0292301&GoCTemplateCulture=en-CA
",2016
92801,Drayton Valley,48 Ave,Drayton Valley,Alberta,53.220024,-114.984207,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0292801&GoCTemplateCulture=en-CA
",2016
92901,Edson,7 Ave,Edson,Alberta,53.593771,-116.395822,Industrial,General population exposure,3.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0292901&GoCTemplateCulture=en-CA
",2016
93001,Evergreen Park,,Grande Prairie,Alberta,55.1172,-118.7647,Forested,Regional background,3.7,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0293001&GoCTemplateCulture=en-CA
",2016
93101,Genesee,Range Road 15,Genesee,Alberta,53.3016,-114.2211,Agricultural,Regional background,3.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0293101&GoCTemplateCulture=en-CA
",2016
93202,Hinton,Private Road,Hinton,Alberta,53.427301,-117.544067,Open,Regional background,8.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0293202&GoCTemplateCulture=en-CA
",2016
93901,Powers,Range Road 35,Thorsby,Alberta,53.633,-114.4199,Agricultural,Regional background,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0293901&GoCTemplateCulture=en-CA
",2016
94001,Smoky Heights,Goodwin Road,Debolt,Alberta,55.402658,-118.280945,Agricultural,Regional background,5.3,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0294001&GoCTemplateCulture=en-CA
",2016
94301,Cold Lake South,15 Ave,Cold Lake,Alberta,54.41401388888889,-110.2329388888889,Residential,General population exposure,6.7,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0294301&GoCTemplateCulture=en-CA
",2016
94401,St. Lina,,St Lina,Alberta,54.2165,-111.5026,Forested,Regional background,4.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0294401&GoCTemplateCulture=en-CA
",2016
94601,Anzac - Wbea,264 Stony Mountain Rd.,Anzac,Alberta,56.44928,-111.03722,Residential,Regional background,7.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=0294601&GoCTemplateCulture=en-CA
",2016
100110,Kensington Park,6400 E. Hastings & Kensington,Metro Van - Burnaby,British Columbia,49.279214,-122.970707,Residential,Transportation source influenced,4.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100110&GoCTemplateCulture=en-CA
",2016
100111,Rocky Point Park,Moody & Esplanade St.,Metro Van - Port Moody,British Columbia,49.280893,-122.849291,Water,General population exposure,4.9,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100111&GoCTemplateCulture=en-CA
",2016
100118,Kitsilano,2550 West 10th Avenue,Metro Van - Vancouver,British Columbia,49.261672,-123.163472,Residential,Transportation source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100118&GoCTemplateCulture=en-CA
",2016
100119,Burnaby South,5455 Rumble Street,Metro Van - Burnaby,British Columbia,49.21527999999999,-122.98555999999999,Residential,General population exposure,4.7,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100119&GoCTemplateCulture=en-CA
",2016
100121,Second Narrows,75 Riverside Dr. N. Vancouver,Metro Van - Vancouver,British Columbia,49.30167,-123.02027999999999,Industrial,Point source influenced,5.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100121&GoCTemplateCulture=en-CA
",2016
100125,North Delta,8544 116th St.,Metro Van - Delta,British Columbia,49.158348,-122.90173,Residential,General population exposure,4.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100125&GoCTemplateCulture=en-CA
",2016
100127,Surrey East,72nd Ave. and 92 St.,Metro Van - Surrey,British Columbia,49.132928,-122.694224,Residential,Transportation source influenced,4.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100127&GoCTemplateCulture=en-CA
",2016
100128,Richmond South,Williams & Aragon,Metro Van - Richmond,British Columbia,49.141437,-123.108215,Residential,General population exposure,4.9,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100128&GoCTemplateCulture=en-CA
",2016
100132,Mahon Park,16th St. & Jones Ave,Metro Van - North Vancouver,British Columbia,49.323994,-123.083496,Residential,General population exposure,4.2,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100132&GoCTemplateCulture=en-CA
",2016
100134,Vancouver Intl. Airport,3153 Templeton Street,Metro Van - Richmond,British Columbia,49.1863888888889,-123.15222,Commercial,General population exposure,5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100134&GoCTemplateCulture=en-CA
",2016
100138,Horseshoe Bay,6350 Marine Drive,Metro Van - West Vancouver,British Columbia,49.36861,-123.276741,Residential,Transportation source influenced,3.8,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100138&GoCTemplateCulture=en-CA
",2016
100140,Tsawwassen,411 Milsom Wynd,Metro Van - Delta,British Columbia,49.009877,-123.081997,Residential,General population exposure,3.7,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100140&GoCTemplateCulture=en-CA
",2016
100143,Agassiz,7170 Cheam Avenue,Agassiz,British Columbia,49.238008,-121.762264,Residential,General population exposure,5.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100143&GoCTemplateCulture=en-CA
",2016
100202,Prg Plaza 400,1011 4th Avenue,Prince George,British Columbia,53.914722222222196,-122.74194444444444,Residential,Transportation source influenced,8.4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100202&GoCTemplateCulture=en-CA
",2016
100205,Gladstone School,Gladstone School,Prince George,British Columbia,53.85784722222222,-122.76142222222222,Parks,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100205&GoCTemplateCulture=en-CA
",2016
100213,Prince George Denicola Ranch,1885 Foreman Road,Prince George,British Columbia,53.9353,-122.6814,Forested,Point source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100213&GoCTemplateCulture=en-CA
",2016
100214,Prince George Exploration Place,333 Becott Place,Prince George,British Columbia,53.9053,-122.7344,Parks,Point source influenced,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100214&GoCTemplateCulture=en-CA
",2016
100304,Victoria Topaz,"Sj Willis School, 923 Topaz Ave.",Victoria,British Columbia,48.441942,-123.363165,Residential,Transportation source influenced,4,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100304&GoCTemplateCulture=en-CA
",2016
100307,Royal Roads University,2005 Sooke Road,Victoria,British Columbia,48.43038,-123.46964,Water,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100307&GoCTemplateCulture=en-CA
",2016
100308,Colwood City Hall,3300 Wishart Road,Colwood,British Columbia,48.42369,-123.49432,Residential,General population exposure,4.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100308&GoCTemplateCulture=en-CA
",2016
100314,Saanich Stellys Cross Road,Tsartlip Band Property,Victoria,British Columbia,48.58028,-123.44278,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100314&GoCTemplateCulture=en-CA
",2016
100315,Victoria Christopher Point,DND Property at Rocky Point,Victoria,British Columbia,48.30944,-123.56194,Water,Regional background,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100315&GoCTemplateCulture=en-CA
",2016
100316,Langford Lakewood Elementary School,2363 Setchfield Avenue,Victoria,British Columbia,48.46577,-123.50765,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100316&GoCTemplateCulture=en-CA
",2016
100401,Federal Building,317 Seymour St.,Kamloops,British Columbia,50.67477,-120.334016,Residential,General population exposure,0.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100401&GoCTemplateCulture=en-CA
",2016
100402,Kamloops Brocklehurst,1578 Tranquille Road,Kamloops,British Columbia,50.7025,-120.394,Water,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100402&GoCTemplateCulture=en-CA
",2016
100701,Kelowna College,3333 College Way,Kelowna,British Columbia,49.862336,-119.477367,Residential,General population exposure,5.9,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100701&GoCTemplateCulture=en-CA
",2016
100801,Keremeos,702-4th Street,Keremos,British Columbia,49.20457,-119.83018,Residential,Regional background,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02100801&GoCTemplateCulture=en-CA
",2016
101003,Abbotsford,32995 Bevan Ave.,Metro Van - Abbotsford,British Columbia,49.04258,-122.30982,Residential,General population exposure,5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101003&GoCTemplateCulture=en-CA
",2016
101004,Abbotsford Airport,31790 Walmsley Avenue,Metro Van - Abbotsford,British Columbia,49.0325,-122.35306,Industrial,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101004&GoCTemplateCulture=en-CA
",2016
101005,Abbotsford Airport-2,1073 Columbia Street,Metro Van - Abbotsford,British Columbia,49.021554,-122.326523,Agricultural,General population exposure,5.1,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101005&GoCTemplateCulture=en-CA
",2016
101101,Chilliwack Airport,46244 Airport Road,Metro Van-Chilliwack,British Columbia,49.1561111111111,-121.94055555555556,Residential,General population exposure,4.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101101&GoCTemplateCulture=en-CA
",2016
101202,Pitt Meadows,18477 Dewdny Trunk,Metro Van-Pitt Meadows,British Columbia,49.245233,-122.70889,Agricultural,General population exposure,3.9,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101202&GoCTemplateCulture=en-CA
",2016
101301,Langley Central,23752 52nd Avenue,Metro Van-Langley,British Columbia,49.09561,-122.567104,Residential,General population exposure,5.3,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101301&GoCTemplateCulture=en-CA
",2016
101401,Hope Airport,62715 Airport Road,Metro Van-Hope,British Columbia,49.369887,-121.49912,Forested,Regional background,4.6,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101401&GoCTemplateCulture=en-CA
",2016
101601,Squ Government Building,38075 2nd Avenue,Squamish,British Columbia,49.700098,-123.154216,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101601&GoCTemplateCulture=en-CA
",2016
101701,Quesnel Senior Secondary,585 Callanan Street,Quesnel,British Columbia,52.98219999999999,-122.49199999999999,Residential,General population exposure,8.5,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101701&GoCTemplateCulture=en-CA
",2016
101702,Quesnel Maple Drive,950 Mountain Ash Road,Quesnel,British Columbia,52.96306,-122.45056,Residential,General population exposure,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101702&GoCTemplateCulture=en-CA
",2016
101704,Correlieu School,Correlieu School,Quesnel,British Columbia,52.9664,-122.5167,Open,Regional background,-,micrograms per cubic metre (µg/m3),"http://indicators-map.canada.ca/App/Detail?id=02101704&GoCTemplateCulture=en-CA
",2016
